comment,season,user_id,user_name
哇哦，刚看的时候觉得普通，现在知道为什么洪七公能被黄蓉几道无比家常的菜收服了……编剧好见功力啊。,1,51,打雷要下雨雷欧
当时一起看老友记的朋友已经不在身边了，值得庆幸的是老友记还一直在，总能逗我开心,1,54,今天也没有猫
当代自由派保守主义教科书，美国中产阶级的理想自恋像，唯一的优点是足够有趣（但也仅限于前两季）。剧中诸多形形色色的人物，也有各种离经叛道的举动，但就是在这些貌似多元的表象之下，隐藏着当代社会的极度同质性：在所有重要问题上，所有人都是高度一致的，性爱从“应该享受”变成了“必须享受”，所有的问题都被简化为生活方式或文化冲突的问题。禁令看似被取消，但其实它依然存在，只是改变了位置；多元文化声称要包容一切，但这种包容只是建立在排除的基础之上；它声称要为边缘群体发声，但它反抗的方式却始终扎根于反抗对象的意义域中。因此，同性恋也好变性人也罢，都必须找到自己的终身伴侣；嬉皮士必须与痴情多金的帅哥喜结良缘（哪怕没有任何理由）；离家出走的富家女必须功成名就：它就是在告诉你，“要做你自己，但只能以系统允许的方式”,1,59,桃吉诃德
为什么我现在才看！还好我现在看了！,1,68,おれはねこです
"NBC《老友记》有老版和重制（个别剧情调整）两个版本，仅拿第一季第一集举例：
时长分别是29:40和22:50，这两个都算官方版本。
这次爱优腾和B站引进的版本时间为21:17，咪咕视频的版本是21:12。
第一集你能想象有什么可删的吗？反正我是想不出来。看见评论区有人说发现加速了，就算有加速，也不可能是时长短的唯一原因，况且“加速”本身就更离谱了。
然后第一集中段瑞秋打电话，身后的地球仪被打码了，就一片印度洋，本来就什么都看不到，打码了反而一堆弹幕在问为什么。
后面有人反映删了lesbian的词语。综上，也不需要再去对比了。",1,69,陆小鸟
我崇拜编剧。MONICA好美，CHARDEL好可爱！,1,9,飞天PP猪
一个高峰,1,20,SH&^U&^N64
我看不下去，笑不出来,1,37,淋
"又看了一遍
真的好喜欢Monica 她的性格有我的影子
好喜欢Rachael 好看又可爱
三个“男生”也都好棒好喜欢",1,90,Lys
2022年才看老友记是我的损失,1,25,GaoJunzzz@
大学英语老师拿来给我们当口语学习视频的??????,1,26,春风不解意
闲来无事就要看老友记。。两天刷完一季，真是太美好了。。,1,48,余小岛
为何旧知己在最后，变不到老友,1,67,豆瓣天后董小姐
"#中国电视剧已经进入高质量发展阶段#哈哈哈哈哈哈哈哈哈哈哈哈哈",1,72,KD6-3.7
经典中的经典了，学英语的推荐教材,1,98,小样儿
暑假把两百多集全看完了：）,1,15,小波福娃
挚爱了！,1,21,Hóng
一直不敢一次性看完，从2006年一直到2010年，足足四年才让我有勇气看到final。倒数第二集，永远会在U2的walk on旋律响起的那一刻潸然泪下。我根本无法想象陪伴了他们十年的美国观众在大结局的那一刻是何感受。十年，人生的七分之一，青春的一大半。这样的友情，这样的友情！！！,1,28,Moss大妖
完全不好看,1,30,??lùlu??
优秀到评分无法体现，好的作品可以穿越国家、穿越时间，带给你欢乐与治愈。,1,57,茶郁无忆
"第二遍，温习的时间跨越了分手前后。Central Park,see ya.",1,63,流空破刃
补剧进行时，专门下的蓝光版的，移动硬盘三分之一都被占了，不过挺值的。相比于现如今喜剧哀鸿遍野的NBC，这剧真心好太多。白富美Rachel；天然呆Phoebe；强迫症Monica；呆萌的Rose；喜剧之王Chandler；还有二兮兮的Joey。C的OMG女友Janice作为配角太抢眼了，每次出场超喜感。客串有乔治克鲁尼好帅！,1,65,炭烧八爪鱼
大学时候用英语看，现在喝的醉醺醺用意大利语看，真的是牛角包、橙汁一样的存在,1,70,thebluepill
永远的friends,1,106,小小小檬子
共24集。,1,131,坩埚钳
说实话，比绝望主妇强多了,1,107,有多远走多远
只看过第一季,1,136,一个劳动人民
用一个月看完了很多人的回忆,1,144,马普尔老姐
"在老挝Vang Vieng这个地方,所有GUEST HOUSE,饭馆,咖啡厅的电视都播FRIENDS的DVD....每天看都疯了",1,155,Haitooong
看了又看又看又看！！,1,181,vampire
漫漫无期坑,1,120,教主饶命
启蒙美剧了 哈哈,1,148,歲月輕狂
唯一经典 经典唯一,1,163,一计落甘
分分钟在笑 太赞了！最后竟然展开略狗血的剧情 哎哟 Jennifer Aniston好美σ(????ε??｀*)难道是拍这个红的吗,1,177,下辈子再努力吧
虽然大家都说好，但我就是不喜欢。,1,185,思惟凝胶
经典。。。,1,193,Crazy Wen
no comments,1,197,asfishinwater
爱死这六只,1,154,蹩逗我笑
部分,1,161,孙
永远经典的美剧。。10季。。Jennifer Aniston美国一代甜姐。。许多人物都很嗲。。,1,162,vivien
这片子很亲切~,1,206,Lan~die
迄今为止看过的最长的最好看的电视剧。永远的记得他们6个，永远的记得看到桌子上的6把钥匙的时候热泪盈眶。,1,212,朱日妮
菲比菲比菲比菲比,1,215,米娜
十年一梦老友记,1,220,flo
渐入佳境 越看越喜欢 经典的魅力,1,236,Fairy
永恒的Friends,1,265,白月光
六人行必有我师,1,272,黠
有多少旧时光 能够这样去回忆,1,277,Fan
看过次数最多的美剧，大概已经到了看个开头就能知道这一集的故事甚至重要台词的地步了。。。太爱这部美剧以至于已经不能用文字表达对它的感想。。。只能说不同时间不同心情看一样的故事总能感觉出不一样的东西，他们有十年风雨共度，真正能在下一个十年还陪着你的人有谁。。。,1,278,汲汲于尘
啊哈，我终于开始看了~,1,281,ZLY
好喜欢Phoebe ！,1,285,月翰尼
经典是很难逾越的,1,298,PHDD
无与伦比的经典。,1,221,合疾||白痴
好爱的一部美剧，大爱大爱啦~ 哈哈，谢谢你的一直陪伴，就是现在还是会偶然重温下的。,1,246,Tatoo
有些经典还是要补一下。,1,271,whisper00sun
十季x6,1,283,phil
看到第五季,1,287,NAHTE
我们十年的欢笑——对于Friends，我只有两个字形容：完美。这十年里，我们陪着Ross，Rachel，Monica，Chandler，Joey，Phoebe一起走过，他们的笑他们的哭，我们都一起经历。曾经以往历历在目，我们不会忘记，有这样的六个人，给我们带来了无尽的欢笑和回忆。,1,300,touya
Goodbye，My Friends！！！！,1,208,NN
最最经典的快乐，不用多说，再过五十年也不会过时！,1,264,三四月。
练口语。练听力。练生活,1,275,Eggplant
我喜欢看莫妮卡发脾气和菲比唱歌,1,279,blb
在美国家喻户晓,1,263,无歌
好看不解释,1,282,line
smelly cat smelly cat,1,286,eieio
Friendship Forever,1,296,持续降调淡出
神作,1,217,Xy
喜怒哀乐，悲欢离合，爱恨情仇，尽在《老友记》,1,229,狂琴斋
绝对经典,1,234,zumaqiong
这个剧彻底颠覆了我对美国人的观念,1,238,妖
无限的看 无限的看不完,1,257,Fan
笑，简单生活,1,290,catorleo
羡慕他们身在异乡还有这么多贴己的好朋友，羡慕他们固若金汤的友情。,1,224,某小某
a great ten years,1,231,pz0
我看美剧一向是有头无尾的，只有Friends例外。大二的十一假期里，我曾经一晚上看完过一季。一直到追上了进度，与它一起走过最后两季，看着它结束十年的历程。Friends是永远无法被逾越的。,1,243,tinkerbell
"十年啊
大家都变老了……",1,248,密使小张
十季完结 大爱···,1,251,脚板
好笑 感动,1,211,图灵莉莎
看之前一直以为是纯粹的六个朋友，没想到有兄妹，还有爱慕对象，这点倒比较失望。莫妮卡很漂亮但是太瘦了。刚开始看几集觉得除了乔伊以外，另外两个男的都有些怪，后面好多了。,1,240,Yaya~
"一入坑就出不来。
看完十季了，经典永远是经典
抄袭剧是不会有出头之日的",1,261,安心
爱！,1,262,Doi
e1而我，只想要一百万美金！e2而这些你居然都知道（却不告诉我们）？！/ this may hurt。me？！e8我觉得有些事还是不说更好一点。你戴这副耳环真好看。谢谢，你给我的。其实是你外婆的。e10这猴子的屁股上长了个罗斯。/ 你们看过《军官与绅士》这部电影吗？他有点像像那个跟我一起去看这部电影的男生。/如果它问起来，我可就要直说了。e12我就要成为一个姑姑了。或者是个叔叔。/ 我做的燕麦提子饼干是是世界上最好吃的，但我不常做，因为我觉得那样对其他饼干不公平。,1,269,大头绿豆
有爱的活着,1,270,阿鲁鲁~
前几季好看,1,288,laputa
终于坚持看完第一季。。可能是因为我在2012年才开始看的原因？我咋感觉笑点太低呢？,1,299,森林之中梦醒来
重温N遍都不腻的老友~~~,1,336,七宝
是什么让我决心这时候开始刷老友记，是因为生活太苦了吗：）,1,352,chell
Chandler R.I.P,1,353,lei
十季，就这样陆陆续续看完了，好的没话说，恍若隔世，大梦十年修一醒，改变的终会改变，不过一切都会适应并向该走的方向前进……,1,372,星空
重看 rachel真好看,1,377,卡破狼
坚持看7-8集以后人物的性格逐渐清晰化，也逐渐适应了笑点和节奏。喜欢钱德勒。三星半。,1,397,Sunman
