comment,processed_comment,season
越看越喜欢Chandler~小钱钱太能耍宝了！有没有人像我一样觉得他越来越瘦瘦的走样了呢…剧情太经典了…真的是始祖啊~,越越喜欢Chandler小钱钱太能耍宝.有没有人像越来越瘦瘦的走样.剧情经典.真的始祖,3
"【2011,07,02--2011,07,07】【2012，07,26--2012,08,08】【2017.8.15】",201107022011070720120726201208082017.815,3
罗斯因和瑞秋吵架，当天又和别人上床这件事，很渣。当时他们只是吵架，并不是分手。而且！罗斯嘴上说爱了瑞秋9年了，可是他每一次都很容易坠入爱河吖……瑞秋有自己的事业，应该支持的，却不是因为没时间和他过纪念日，而闹脾气很控制狂。要不是编剧原配，确实不爱他们在一起。,罗斯因和瑞秋吵架当天上床这件事很渣.吵架分手.罗斯嘴上爱瑞秋坠入爱河吖.瑞秋有事业支持时间纪念日闹脾气控制狂.编剧原配确实不爱,3
分手那段最好看,分手那段好看,3
推荐Joey的美人鱼造型。。,推荐Joey美人鱼造型,3
不喜欢莫妮卡长头发,喜欢莫妮卡长头发,3
我真的很不喜欢Ross和Rachel，但最后希望他俩锁死吧。Ross说的难听点令人恶心Rachel还愿意受着那就锁死呗。,真的喜欢RossRachel希望他俩锁死.Ross难听令人恶心Rachel锁死,3
"rachel她娘说得好对: Once a cheater, always a cheater. 虽然Ross那个情况有点特殊lol",rachel娘说得好Onceacheateracheater.Ross情况lol,3
这一季好精彩!!　Joey那个人鱼沙雕笑喷我了!!,一季精彩.Joey鱼沙雕笑喷,3
因为Ross和Rachel的破事入选我最讨厌的一季,RossRachel破事入选讨厌一季,3
第三季的笑点和泪点水平承接第二季的高水准，基本上快达到《老友记》前期的巅峰状态。罗斯和瑞秋第一次分手让人唏嘘，阴差阳错的出轨事件，也为后面一波三折的分分合合埋下了无尽伏笔和笑料。菲比遇到了同胞弟弟，也开启了下一季一个最重要最温暖的情节。钱德勒本季突然暴瘦，留胡子后看着才不太脱相，不知道是不是和现实中药物成瘾有关。,第三季笑泪点水平承接第二季高水准老友记前期巅峰状态.罗斯瑞秋第一次分手唏嘘阴差阳错出轨事件一波三折分分合合埋下无尽伏笔笑料.菲比同胞弟弟开启一季温暖情节.钱德勒本季暴瘦留胡子看着不太脱相现实药物成瘾,3
见你们分开好心痛。,分开心痛,3
钱德勒这季确实很帅啊~~~,钱德勒季确实很帅,3
"\"We were on a break\"这台词太经典了。瑞秋的的选角非常好，其他人来演的话很容易把瑞秋塑造成一个令人讨厌的角色。",Weabreak台词经典.瑞秋选角其他人来演瑞秋塑造成令人讨厌角色,3
Ross这一季性格太烂了，真的太烂了。,Ross一季性格太烂真的太烂,3
我好像就记得三季= =,好像记得三季,3
2012.7.14 04：47,2012.7140447,3
最喜欢Chandler，用幽默来保护自己。,喜欢Chandler幽默保护,3
joey 和chandel越来越cute了,joeychandel越来越cute,3
chandler好逗！！~,chandler逗,3
看着ross真揪心,看着ross真揪心,3
巨爱12集joey跳舞那段~,巨爱12集joey跳舞那段,3
啊哈，Phoebe果然是水瓶～Monica的“朋友论”，really sweet...真心希望Ross和Rich幸福，加油。越来越爱Chandler～,Phoebe水瓶Monica朋友sweet真心希望RossRich幸福加油.越来越爱Chandler,3
bing和monica在一起吧快在一起去,bingmonica,3
看过那么多对北美意难忘我得说rachel和ross这一对真是烦得登峰造极…,看过北美意难忘rachelross一对烦得登峰造极,3
Chandler这季瘦了,Chandler这季瘦,3
罗宾威廉姆斯竟然来跑了个一分钟的龙套。,罗宾威廉姆斯跑一分钟龙套,3
「Chan Chan man」和「Chuck n' Dick」出处！,ChanChanmanChucknDick出处,3
断断续续看完了 依旧好看  哈哈  生活的调味剂,断断续续完依旧好看生活调味剂,3
最开始时，喜欢莫妮卡，因为很迷她那种精致的长相，后来发现瑞秋才是最会搭配衣服的人。菲比也越来越漂亮，觉得钱德好帅。真的对这部剧产生感情了。。。。,喜欢莫妮卡很迷那种精致长相发现瑞秋才最会搭配衣服.菲比越来越漂亮钱德好帅.真的这部剧感情,3
有趣可爱轻松幽默，尤其是菲比还有Joey和Chandler。爱情线没有友情线好看，不过还是期待Rachel和Ross赶紧和好吧~【9.7】,有趣可爱轻松幽默菲比JoeyChandler.爱情线友情线好看期待RachelRoss赶紧9.7,3
这一季看的不全,一季不全,3
有时候因为莫名其妙的原因分手 在乎然后又无法重新来过,有时候莫名其妙原因分手在乎来过,3
以前不愿意看美剧，总觉得太长，出几百集，不是要逼死人么？现在我认错。。。,看美剧总长几百集逼死,3
Ross和Rachel撮合的太快，失去了剧情需要的Sex Tension所以被拆了，很好，这之后的剧情两个人都烦人无比，都被过早的编在一起拖下了水=_.=……本季Monica的富翁男友这个段子过于玛丽苏了,RossRachel撮合太快剧情SexTension拆剧情两个烦人无比过早编在拖下水.本季Monica富翁男友段子玛丽苏了,3
这一季简直差到爆了。Rachel与Ross的关系纠结的无聊又拖沓，Chandler的段子做作又幼稚，失望死了。唯一让人从1星提到2星的原因可能只有Chandler的催眠录音带那唯一搞笑的部分了。,一季差到爆.RachelRoss关系纠结无聊拖沓Chandler段子做作幼稚失望死.唯一星提到星原因Chandler催眠录音带唯一搞笑,3
好像只要熬过第一季就好了，第二季后终于能笑笑了，讽刺的是配角和龙套现在都火了，6个人就走出来个安妮斯顿,好像熬过第一季第二季终于笑笑讽刺配角龙套火走安妮斯顿,3
完全无法自拔。。爱3连第三季最后的结尾都是抄老友记的，真是各种无语。。,爱第三季结尾抄老友记语,3
即便中间都没什么意思，最后一集还是挺厉害的,没什么一集挺厉害,3
什么时候送我一个Joey一样的Friend｜在各种各样的地方看 看完了这一季,送JoeyFriend各种各样地方完一季,3
似乎看到了90年代末韩国和香港的细挑眉、暗色口红和离子烫的来源，原来是欧美。男生发型反而没什么年代感。对RR的爱情线有点厌烦，可能年纪大了，剧中人比现在的我小了十几岁呢。ross去晚会那集强行制造冲突就不好看，ross也不必为Rachel道歉，而rach加班，ross带一堆吃喝上去又很找人讨厌，不禁觉得richard这样老男人确实有优点。纪念日、节日都是冲突高发日，其实是团队作战日,90末韩国香港细挑眉暗色口红离子烫来源欧美.男生发型没什么感.RR爱情线厌烦年纪剧中人十几岁.ross晚会那集强行制造冲突好看rossRachel道歉rach加班ross一堆吃喝找讨厌不禁richard男人确实优点.纪念日节日冲突高发团队作战,3
E4本本好可爱～ヾ(≧??≦*)ヾ/E7的片头太可爱了2333/E10好感动 菲比和小女孩都好幸运/E20我也想要娃娃屋???? (???? ?????????? )???? ????/E23为什么小钱钱越来越邋遢了??,E4本本可爱ヾ.ヾE7片头可爱2333E10感动菲比小女孩幸运E20想要娃娃屋.E23小钱钱越来越邋遢,3
今儿看完，继续追剧中···,今儿完追剧中,3
他们依然纯真,依然纯真,3
看著就歡樂啊,看著歡樂,3
钱德勒终于开始追求莫妮卡了，罗斯和瑞秋到下一季会不会复合呢？菲比和乔伊呢？,钱德勒终于追求莫妮卡罗斯瑞秋到一季复合.菲比乔伊,3
没有前两季好看,两季好看,3
双R耍宝一季。,双R耍宝一季,3
Ross和瑞秋分开了,Ross瑞秋分开,3
罗斯与瑞秋的爱情真是曲折啊……,罗斯瑞秋爱情曲折,3
瑞秋和罗斯你们闹完了没有啊！,瑞秋罗斯闹完,3
又是3天看完一季，我发现自己已经疯狂爱上老友记了！以前觉得爱情公寓山寨生活大爆炸，现在发现爱情公寓和生活大爆炸都山寨了老友记！,天看完一季发现自己疯狂爱上老友记.爱情公寓山寨生活爆炸发现爱情公寓生活爆炸山寨老友记,3
大爱经典,大爱经典,3
28岁，想要个孩子的莫妮卡,28岁想要孩子莫妮卡,3
瑞秋罗斯2.0。尾声噱头十足。,瑞秋罗斯2.0.尾声噱头十足,3
这一季从大四开始看的 拖拖拉拉看到现在才看完,一季大四拖拖拉拉完,3
必须满分总是带来感动！,满分带来感动,3
艾玛，都看到第六集却忘把这一季给MARK了~失策失策~,艾玛第六集忘一季MARK失策失策,3
Phoebe唱歌的样子真心可爱。,Phoebe唱歌样子真心可爱,3
我得省着点儿看了。。,省点儿,3
好的喜剧就是你开心的时候笑得出来，不开心的时候也笑得出来。,喜剧开心笑开心笑,3
每天最可口的的下饭菜~,可口饭菜,3
