comment,processed_comment,season
看到Phoebe代孕，对代孕有了新的认识。Phoebe真的是天使，为了弟弟居然可以忍受十月怀胎之苦，并承担着巨大的风险以及怀孕生产后遗症，她是很渴望亲情的吧。不过我还是觉得代孕好残忍，在自己肚子里待10个月的宝宝，一出生却要叫别人妈妈，怎么能舍得呢？      这一季服装造型不太行，感觉没什么有记忆点的衣服，Mon的造型不好看，显老。依旧很喜欢Chan&Joey的友情线，他们俩的磁场太对了。嘻嘻，下一季Mon&Chan要发展感情线了，好期待??,Phoebe代孕代孕新.Phoebe真的天使弟弟忍受怀胎之苦承担风险怀孕生产后遗症渴望亲情.代孕残忍肚子里10宝宝出生妈妈舍得.一季服装造型太行感觉没什么记忆衣服Mon造型好看显老.依旧喜欢ChanJoey友情线俩磁场太对.嘻嘻一季MonChan发展感情线期待,4
老友记第四季，抓马的双R恋，不过！最后一集，钱莫终于在一起了！耶，后面可以看钱德勒和莫妮卡超甜的感情了。每一集都笑的肚子痛，太爱老友记了，感觉乔伊越来越故意弱智，也不知道为什么要这样，菲比依然怪咖毒舌但善良独立，罗斯和瑞秋总是伤害彼此还有他人的情感，果然还是最喜欢钱德勒和莫妮卡哈哈。,老友记第四季抓马双R恋.一集钱终于.耶钱德勒莫妮卡超甜感情.每一集笑肚子痛太爱老友记感觉乔伊越来越弱智菲比依然咖毒舌善良独立罗斯瑞秋伤害情感喜欢钱德勒莫妮卡,4
豪斯医生哈哈哈,豪斯医生哈哈哈,4
赌公寓和钱德去也门那两集爆笑啊！不是男朋友的ROSS又恢复了他的体贴深情，唉~~~~虽然我很爱瑞秋，但不得不说，她直接或间接撬掉了ROSS前后4个女友，有点过分。菲比在这季格外显老，是怀孕的缘故吗？,赌公寓钱德去也门两集爆笑.男朋友ROSS恢复体贴深情爱瑞秋间接撬ROSS女友过分.菲比这季显老怀孕缘故,4
Chandler是真的爱Joey的我坚信 Joey也是真的在爱Chandler的 Monica和Chandler到底是怎么回事 Richel真的是太任性 Ross的龟毛和古怪其实也是可爱的 我没想到菲比是真的怀孕了！！！好几集真是笑到脸抽筋！,Chandler真的爱Joey坚信Joey真的爱ChandlerMonicaChandler怎么回事Richel真的任性Ross龟毛古怪可爱没想到菲比真的怀孕.好几集笑脸抽筋,4
251008-9 - 谁又成为正版受害者了,251008正版受害者,4
莫妮卡和菲比在失业时，一起合伙做宴会的餐饮，但莫妮卡因为写美食评论，而意外获得在餐厅做主厨的机会。莫妮卡告诉菲比时，菲比还沉浸在接到一个喜宴的活儿，她们都很难过。为了让菲比接受，莫妮卡列了好几个方法建议她如何利用她们合买的车去赚钱，但都被菲比拒绝了。最后，莫妮卡决定放弃主厨机会，而菲比因为看到莫妮卡列了那么多建议，而决定尊重莫妮卡。这就是友谊。罗斯决定和艾米丽结婚，所有人都愣住了，在等待瑞秋的反应，然后瑞秋恭喜罗斯，其他人才欢呼起来。就是注意到每个人的情绪的友谊，太感人了。永远爱菲比。,莫妮卡菲比失业合伙宴会餐饮莫妮卡写美食评论意外获得餐厅主厨机会.莫妮卡告诉菲比菲比沉浸接到喜宴活儿难过.菲比接受莫妮卡列好几个方法建议利用合买车赚钱菲比拒绝.莫妮卡放弃主厨机会菲比莫妮卡列建议尊重莫妮卡.罗斯艾米丽结婚所有人愣住等待瑞秋瑞秋恭喜罗斯人才欢呼.情绪友谊感人.永远爱菲比,4
Ross和Rachel几乎就是复刻了一遍之前的剧情，幸好有Chandler和Monica的新故事打开局面,RossRachel复刻一遍剧情幸好ChandlerMonica新故事打开局面,4
Ross和Rachel的感情戏真是让人火大。。。,RossRachel感情戏火大,4
本来前面那些集我有很多快乐想说，但是最后罗斯和瑞秋的感情戏实在太狗血了！！！分分合合每次的代价都是把别人甩掉牺牲别人的幸福，这一点都不cool！！我原来很欣赏老友记里的恋爱观，但是罗斯瑞秋这一对真的被编剧写毁了，为啥一定要他俩凑一对呢？就各自找到另一半不好吗？？况且我现在真的不觉得瑞秋除了外在美有啥优点了，是，她还是善良的，可她脑子不好使，一点也不会为人处世，客观上她就是很自私幼稚。,本来集快乐想罗斯瑞秋感情戏实在狗血.分分合合每次代价甩掉牺牲幸福一点cool.欣赏老友记里恋爱观罗斯瑞秋一对真的编剧写毁为啥他俩凑一对.找到另一半不好.真的瑞秋外在美优点善良脑子不好一点为人处世客观自私幼稚,4
我这些都想打六颗星来着,想六颗星来,4
比第一季更丧病的季终出现！就在我对RR之间不停反反复复翻来倒去的关系反感到顶点的时候，竟然做了一集混剪回顾，方便了我直接快进跳过。何以解忧，唯有Chan Chan，和Joey的日常甜蜜，和Mon终于有所进展。,第一季更丧病季终.RR不停反反复复翻来倒关系反感到顶点一集混剪回顾快进跳.解忧ChanChanJoey日常甜蜜Mon终于进展,4
前四季最佳,四季最佳,4
人物关系可以用纠结与混乱来形容。,人物关系纠结混乱形容,4
连莫妮卡和钱徳配对这种事都接受了，可见是真爱这个电视。,莫妮卡钱徳配对事接受真爱电视,4
我只是先告诉自己，在第21集，是Richeal&Ross的合集,先告诉21集RichealRoss合集,4
最爱的一季之一-w-,最爱一季w,4
"I, Ross, to take thee, RACHEL!!!!!!!!!!!!!!!!!!!!!!!",IRosstheeRACHEL,4
Ross要结婚了，可惜新娘不是Rachel,Ross结婚可惜新娘Rachel,4
Joey很可爱的，pheebs也是。小鸡小鸭很幸福哈,Joey可爱pheebs.小鸡小鸭幸福,4
有時候世界就像Rachal一樣，你有時候會覺得她難以捉摸，甚至覺得她無法理喻，可她原原本本沒有你想像中那麼複雜，只要用心，她和這個世界都會奮不顧身得愛上你。,時候世界Rachal一樣時候會覺難以捉摸覺得無法理喻原原本本沒有想像中那麼複雜用心這個世界會奮不顧身得愛上,4
有时候很佩服老友记的编剧，脑洞真的绝了，多线叙事并行不悖最终汇合迸发，笑点满满。这一季插入的乔伊和瑞秋线是很甜但就是感觉不对劲，很别扭，氛围都变得些许尴尬。庆幸编剧及时止损，但瑞秋和罗斯明明都可以表白结婚在一起了，就差那临门一脚了，最后一集编剧又整幺蛾子。可能是为了收视率，可是这样玩真的好嘛！！！还好有钱德勒和莫妮卡婚后生活的甜来调和，编剧我真的又爱又恨啊！还有最后两季却又不舍得看了，不想结束呢？,有时候佩服老友记编剧脑洞真的多线叙事并行不悖最终汇合迸发笑点满满.一季插入乔伊和瑞秋线很甜感觉不对劲别扭氛围变得些许尴尬.庆幸编剧止损但瑞秋罗斯明明表白结婚临门一脚一集编剧又整幺蛾子.收视率玩真的.还好钱德勒莫妮卡婚后生活甜来调和编剧真的爱恨.两季舍得不想结束,8
Joey的爱人方式是最感人最纯粹的爱人方式。,Joey爱人方式感人爱人方式,8
"爱情公寓真的抄袭太多了...
3.15完结 珍妮丝总是在意想不到的地方出现，哈哈哈哈哈哈哈哈真的绝了
每一季结尾都是大催泪弹，艾玛出生的那一刻突然控制不住流泪，也不知道是为什么，可能是看瑞秋这一路走来真的很感慨吧",爱情公寓真的抄袭太多.3.15完结珍妮丝意想不到地方哈哈哈哈哈哈哈哈真的一季结尾催泪弹艾玛出生那一刻控制不住流泪看瑞秋一路走来真的感慨,8
乔伊爱上瑞秋这个情节感觉是个败笔，出现得有些突兀。,乔伊爱上瑞秋情节感觉败笔突兀,8
要看完了啊魂淡。。。,完魂淡,8
孩子终于生下来了。。。。。。该结婚鸟。。= =,孩子终于生.结婚鸟,8
joey越来越正经了。,joey越来越正经,8
总算是基本能够做到大体上不看字幕而是将专注力更多地转移到人物表情动作穿着和环境上的同时还能基本听懂他们在说什么了。只是还是需要偶尔停下来查一下单词。,总算不看字幕专注力转移人物表情动作穿着环境听懂.停下来查单词,8
这一季有点平淡了。莫妮卡和钱德勒太稳定，其他人又几乎没有感情线，笑点又一般，客串倒是有几个精彩的。,一季平淡.莫妮卡钱德勒稳定其他人感情线笑点客串倒几个精彩,8
其实从第六季开始笑点就下滑了，但是还是很好看。但是非要全世界的人都喜欢瑞秋吗？,第六季笑点下滑好看.全世界喜欢瑞秋,8
hum.这季喜欢瑞秋,hum这季喜欢瑞秋,9
我真无语。看到乔伊在医院让瑞秋误会求婚，后面看着罗斯来了，我就知道要误会和错过了了。 我整个大无语。然后我就愤怒的关掉了电视剧??,乔伊在医院瑞秋误会求婚看着罗斯误会错过.愤怒关掉电视剧,9
"看了这么多季老友记，最让我有感触的就是外国人的恋爱观：只要爱对方就一定会想去传达自己的心情。但只要与对方有无法解决的问题，或者相处的不够开心，就会马上果断的分开，就算自己很心痛。这就是因为能掌控自己生活的成年人恋爱吧，真好。
科学家大卫算是我最喜欢的配角了，好心疼。但菲比和麦克实在让我觉得太合适了。有时我都觉得菲比确实太疯疯癫癫了，但麦克无论如何都超级欣赏菲比的一切。更别说他们那奇妙的相遇，丘比特先生真是费尽了心思。
罗斯仍然是各种意义上的小气加暴脾气加以自我为中心，编剧是多不喜欢这个角色？
钱德勒终于能做自己喜欢的工作啦。钱莫两人的婚姻，让我对婚姻多了好多期待。婚姻不一定是一条下坡路，也可以是两个人牵着手一起走向更广阔明亮温暖的未来呀。",多季老友记感触外国人恋爱观爱会想传达心情.解决相处开心果断分开心痛.掌控生活成年人恋爱真.科学家大卫算是喜欢配角心疼.菲比麦克实在合适.菲比确实疯疯癫癫麦克无论如何超级欣赏菲比.奇妙相遇丘比特费尽心思.罗斯意义小气加暴脾气自我中心编剧喜欢角色.钱德勒终于喜欢工作.钱两人婚姻婚姻好多期待.婚姻一条下坡路两个牵着手走向广阔明亮温暖未来,9
喜欢明知最后不会在一起的Rachel和Joey，还有Phoebe和David。,喜欢明知RachelJoeyPhoebeDavid,9
休憩5 Mon和Chan的“生理”设定真是遗憾，不过也是一个泪点，婚后两人表现确证他们的确适合对方。其余四个人就有点乱套了…Joey深情的时候，隔着屏幕几乎都要爱上了。Rachel这季颜值太高了，整个人完美，完全理解了美国人对她的热爱。,休憩MonChan生理设定遗憾泪点婚后两人表现确证适合.四个乱套.Joey深情隔屏幕爱.Rachel这季颜值太高完美理解美国热爱,9
少一星是因为混乱的感情线,少一星是因为混乱感情线,9
其实感觉这部没有很好看 但结局是怎么回事 哥儿们反目么？！,感觉这部好看结局怎么回事哥儿们反目,9
"这一季编剧真的疯了
很多剧情看得我脑阔痛
重温的时候绝对会跳过的程度",一季编剧真的疯剧情看得脑阔痛重温跳程度,9
joey和rachel绝对是个错误，拉低整部剧水平的情节！！！,joeyrachel错误拉低整部剧水平情节,9
至今最好看的一季,好看一季,9
多谢哥的dvd,多谢哥dvd,9
剧集的走势有点出乎意料，很期待最后一季是如何收尾……,剧集走势出乎意料期待一季收尾,9
这一季的ending实在太没劲了，完全就是因为有了第十季在那里制造复杂关系。,一季ending实在没劲第十季在制造关系,9
三刷。看的剧越多就越明白一部剧拍了这么久还能保持高质量有多不易。,剧越越明白一部剧拍这么久高质量不易,9
"Rachel生孩子和Joey再在一起都太太太無聊了, 看到第九季真的明白為什麼十季就要結束。",Rachel生孩子Joey太太無聊第九季真的明白為什麼十季結束,9
最爱乔伊。,最爱乔伊,9
编剧偷懒现象越来越严重了,编剧偷懒现象越来越,9
chandler面对monica各种让人无法忍受的怪癖都只有一句温柔的话，这本事太强！joey和rachel气场太不合啊。。ross挺好的。。,chandler面对monica无法忍受怪癖一句温柔本事太强.joeyrachel气场不合.ross挺,9
"依然非常喜欢  只是马上就要看到第十季就没得看了  郁闷
瑞秋乔伊在一起了 菲比的男朋友很萌的",依然喜欢第十季没得郁闷瑞秋乔伊在菲比男朋友很萌,9
和Joey的爱情又唐突又可惜。。。。,Joey爱情唐突可惜,9
十季这么看下来 觉得第九季最扯啊……,十季第九季扯,9
这一季好长，平均一集得有25分钟，Ross还是不纠结于爱情时最搞笑，Rachel居然真的和Joey好上了，无法接受啊,一季好长平均一集25分钟Ross纠结爱情搞笑Rachel真的Joey接受,9
这季一般性，觉得离现实生活有些远。,季一般性现实生活远,9
Ross&Rach 合唱BABY GOT HOME超好笑啊 最后一集JOE同RACH KISS让我有种他们两人在一起也不错的感觉 不过还是希望ROSS同RACH在一起 EMMA好可爱！,RossRach合唱BABYGOTHOME超好笑一集JOERACHKISS有种两人不错感觉希望ROSSRACHEMMA可爱,9
我觉得SEASON9超级超级超级超级超级赞！！！  17.18,SEASON9超级超级超级超级超级赞,9
最后一集结尾处，从Ross kissing Charlie，好像第一次发现Ross这么帅的的样子开始，到Joey伴着那个异常动人的bgm敲响Rachel的门后两人动情地拥吻，我念叨了一大连串的oh my god. 从第八季开始就要被这一对迷死了，之前几季看老友记只当做是情景喜剧，有时甚至都没有持续的兴趣去持续看下去，但是自从Joey和Rachel的感情产生之后，在Joey这里感受过了好多个不可思议的moment，让你突然觉得，天啊，这不是一个口水情景喜剧来着吗？,一集结尾处RosskissingCharlie好像第一次发现Ross帅样子Joey伴着异常动人bgm敲响Rachel门两人动情拥吻念叨一大连串god.第八季一对迷死几季老友记当做情景喜剧持续兴趣持续JoeyRachel感情Joey感受好多个不可思议moment天口水情景喜剧,9
快到尾端了 总是舍不得。。哭点也变得很低。。 哎,快到尾端舍不得.哭点变得低,9
钱先生真是个好男人！！,钱男人,9
又先进又传统，有几集编剧太牛了。,先进传统几集编剧太牛,9
人物风格多变的一季，以至于有些情节略显突兀生硬。菲比这条线是最扎实的。想到只剩一季，sad!!!,人物风格多变一季情节略显突兀生硬.菲比这条线扎实.想到剩一季sad,9
跟最初几季完全不能比,最初几季,9
每个角色的性格特征都很分明，没有最爱的角色，他们各有各的搞笑方式，我都喜欢。,角色性格特征分明最爱角色各有搞笑方式喜欢,9
大家都慢慢找到了归宿，很希望Joey和Rachel可以好好的在一起，愈发喜欢Joey了.,慢慢找到归宿希望JoeyRachel好好愈发喜欢Joey,9
Friends 第九季将部分角色的感情线拉入反复的离合与纠缠，即便是忠实粉丝，在某些情节中也难掩对其狗血走向的无奈。,Friends第九季将角色感情线拉入反复离合纠缠忠实粉丝情节难掩狗血走向无奈,9
又越来越喜欢phoebe了，感觉她跟mike是那种天注定的一对儿,越来越喜欢phoebe感觉mike那种天注定一对,9
看到第九季才意識到自己超級喜歡Joey，也是給自己的後知後覺跪了。,第九季才意識超級喜歡Joey是給後知後覺跪,9
一个老友记基本搁浅了我其他所有的剧和电影。 看到这里除了最爱菲比，剩下的人都是老二~哈哈,老友记搁浅剧电影.爱菲比剩下老二,9
还是2——5季最好看,季好看,9
前几集还是笑了很多次，后面也是觉得编剧写不出东西来了。。,几集笑编剧写不出东西,9
我爱死这电视剧了,爱死电视剧,9
麦克真可爱……怎么就配给菲比了。。。= =黑妞不讨喜…………这大概是结局最不咋地的一季。。。。小艾玛好可爱><~PS:这类情景剧的最后走向都是几个主演相互睡？,麦克真可爱.配给菲比.黑妞讨喜.结局一季.小艾玛可爱PS类情景剧走向几个主演相互睡,9
"停在这一季的结尾就好了。Pheobe&Mike, Rachel&Joey. 要是sbRoss没有赶走那个男nanny就完美了????",停一季结尾.PheobeMikeRachelJoey.sbRoss赶走男nanny完美,9
菲比找到了麦克，钱德勒和莫妮卡不会有自己的孩子。莫妮卡站在聚光灯下好像中毒的女鬼。罗斯和瑞秋肯定会在一起。艾玛好萌。,菲比找到麦克钱德勒莫妮卡孩子.莫妮卡站聚光灯好像中毒女鬼.罗斯瑞秋肯定.艾玛好萌,9
11229：自从看到钱德勒与莫妮卡发生关系后，就猜想六个朋友难不成最后是成双成对地在一起？瑞秋和大卫重续前缘，精灵古怪的菲比也与呆萌浪子的乔伊喜结良缘？结果这一季的情感走向并没有按我预期地“出牌”：菲比阴差阳错地巧遇麦克（竟然是“蚁人”保罗·路德饰演的，惊喜），几经周折终于有了第一次爱情长跑（为科学家大卫感到遗憾）；罗斯遇到了懂他理解他与他有类似学识领域兴趣的查莉；尤其是第九季首尾呼应的“瑞秋-乔伊”恋，让上一季单恋瑞秋的罗伊在这一季反过来被瑞秋暗恋了；最后故事在几对情侣各自Happy的氛围中End了。（杰夫·高布伦的出演、珍妮丝的再度现身……惊喜，以及，有些人可能比较容易爱上别人吧？）……,11229钱德勒莫妮卡发生关系猜想六个朋友难不成成双成对.瑞秋大卫重续前缘精灵古怪菲比呆萌浪子乔伊喜结良缘.一季情感走向预期牌菲比阴差阳错巧遇麦克蚁保罗路德饰演惊喜几经周折终于第一次爱情长跑科学家大卫感到遗憾.罗斯懂理解类似学识领域兴趣查莉.第九季首尾呼应瑞秋乔伊恋一季单恋瑞秋罗伊一季被瑞秋暗恋.故事几对情侣Happy氛围End.杰夫高布伦出演珍妮丝再度现身.惊喜爱上,9
越到后面越不舍,越到越不舍,9
Room 1202…,Room1202,9
越看越舍不得。。,越越舍不得,9
在看老友记的第8年，我终于有一年看2季的时候了，有老婆就是不一样。,老友记终于一年季老婆,9
Joey快找到幸福吧，这回不要再换人了。,Joey找到幸福这回换人,9
Joey和Rach好般配。要到最后一季了，不舍。,JoeyRach般配.一季不舍,9
我还是有点不开心给C和M这个不孕不育的设定，总不让人好好过。2R养孩子还是蛮可爱的，可怜的Ben这季没有出现过，Emma长相太加分了。Joey依然可爱，Phoebe和Mike也渐入佳境，是该结束了。,开心CM不孕不育设定总不让好好.2R养孩子可爱可怜Ben这季Emma长相太加分.Joey依然可爱PhoebeMike渐入佳境结束,9
老友记后几季都不怎么好看了,老友记几季好看,9
这一季的笑点肿么不如之前了（还是我笑经有问题？），你们爱他爱她请干脆一点好吗。。真让人干着急= =,一季笑肿笑经有.爱爱干脆一点.真让人干着急,9
时隔20年也不觉得过时。,时隔20过时,9
我都不敢看最后一季了，怕看哭了我，虽然我早知道结局如何。★★★★★,一季哭早结局,9
这一季依旧笑点少的可怜，话说都看了9季了我真心没笑过几次。但是老友记确实就像生活一样，你过着生活，像理所当然一样，第十季突然就不想看了。话说这一季确认了一些事。瑞秋很美，最爱罗斯的身材，最抵挡不住乔伊追女人的手段，最想和钱德做恋人。哈哈,一季依旧笑点可怜话季真心没笑几次.老友记确实生活生活理所当然第十季不想.话一季确认事.瑞秋美爱罗斯身材抵挡不住乔伊追女人手段最想钱德恋人,9
杰夫 高布伦,杰夫高布伦,9
我已经不忍心继续往下看了 我怕我承受不了,不忍心我怕承受,9
这么长的电视剧，发展到后来必然出现了固定的“前情回顾集”，从第六季开始，每季都有一集是在回溯前面的片段，以此挽留观众，但到目前为止，整个剧像一个长期暴露在空气中的水果，无法抑制它腐烂变坏的进程，特别是开头结尾的几集，可谓是惨不忍睹。2.5,长电视剧发展固定情回顾集第六季每季一集回溯片段以此挽留观众目前为止剧像长期暴露空气水果抑制腐烂变坏进程特别开头结尾几集可谓惨不忍睹,9
还剩一季了 我会好好珍惜你们的,剩一季我会好好珍惜,9
"Monica从第六集開始衣品越來越差了. 為什麼 前五季(尤其1,2,3)簡直太會穿啊 第五季rachel越來越好看了 當然phoebe is the worst.... 男生裡面Ross衣品最高啊...Joey最差",Monica第六集開始衣品越來越.為什麼五季簡直太會穿第五季rachel越來越好看當然phoebeworst.男生裡面Ross衣品Joey最差,9
从第九季开始看老友记，几乎第一时间爱上美剧，后来发现，也不是每季都精彩,第九季老友记第一时间爱上美剧发现每季精彩,9
从某季开始双子楼就再不出现了，略伤感……,某季双子楼伤感,9
竟然看到第九季了！真的是看一集少一集 越来越不舍得看 Joe跟Rachel搞在一起算什么！我再也不相信爱情了 Monica跟Chandler真的养不出小孩嘛！！！要不要那么狗血。。。,第九季.真的一集一集越来越舍得JoeRachel搞算.再也爱情MonicaChandler真的养不出小孩,9
据说这季光是演员的片酬都达到了100万美元一集，合约也快到期，当时很多人都以为这肯定是最终季了，所以也有Chandler moving to Tulsa的情节，但拍到一半在NBC的恳求下，主演们决定后面再回来拍多一季，Chandler只好被辞职哈哈。,季演员片酬100万美元一集合约到期肯定最终季ChandlermovingTulsa情节拍一半NBC恳求主演回来拍多一季Chandler只好辞职,9
多久以前的事了？为什么我会标在看、。、,多久事,9
从第七季开始就是鸡肋 看之无味 弃之可惜 ps 没想到第九季还能看见janice,第七季鸡肋无味弃之可惜ps没想到第九季janice,9
六刷已经到第九季了,六刷第九季,9
Rachel和Joey！！！2 你们值得拥有！,RachelJoey,9
珍妮丝的每次出现都是惊喜，Oh e my e ga e...太经典了,珍妮丝每次惊喜Oheegae经典,9
麻烦成立一个“我爱phoebe”和“我恨rachel”联盟，谢谢。,麻烦成立爱phoebe恨rachel联盟谢谢,9
Phoebe的感情戏有了剧情，Mark真的是很正派的包容的人；Rachel的感情总是迟到，而同事Gevin下线也太快。,Phoebe感情戏有剧情Mark真的正派包容.Rachel感情迟到同事Gevin下线太快,9
越来越爱Rachel,越来越爱Rachel,9
看的太快了，已经开始舍不得了,太快舍不得,9
我若到了30多岁 能和一群朋友们住在一起 纯粹的住在一起 多好,30多岁一群朋友住在一起住在一起多好,9
Gavin好帅！Rachel对Joey的突然冲动真是无法理解，编剧为什么要一直乱搞RR的感情线啊！,Gavin好帅.RachelJoey冲动理解编剧乱搞RR感情线,9
10分。虽然我的价值观让我感动一丝丝不舒服，但Rachel和Joey真的很配，俩人都散发着魅力，也都“渣”，哈哈～Monica和Chandler的相处方式令人羡慕，特别是Chandler，为爱人和朋友付出，可爱至极！童真烂漫的Phoebe终于和Mike在一起了(其实Mike是Joey随意找的凑数的，哈哈，奇妙～)，Ross的脑回路不摆了……不管怎样，六个好友在一起就已经非常完美了！(马上看最后一季了，又开心又难过),价值观感动一丝丝舒服RachelJoey真的很配俩散发魅力渣MonicaChandler相处方式令人羡慕特别Chandler爱人朋友付出可爱至极.童真烂漫Phoebe终于MikeMikeJoey随意找凑数奇妙Ross脑回路摆.六个好友完美.一季开心难过,9
越来越喜欢ross了，Charlie 怎么回事，结婚之后就不humour了,越来越喜欢rossCharlie怎么回事结婚humour,9
和乔伊的线我真的是看不下去。第十季就不看了。,乔伊线真的看不下去.第十季,9
这样下去很快就要看完了肿么办,很快完肿办,9
糟了个糕，第九季也看完了，就是说以我这速度马上就要把全集看光了！太经典了舍不得啊！真的很好看，欢乐得不得了～～～,糟糕第九季完速度全集看光.经典舍不得.真的好看欢乐,9
四星半吧。我是真的真的不能接受RJ,真的真的接受RJ,9
没想到第十季就要来啦，哈,没想到第十季,9
只有成年人才知道能够擁有這些朋友有多珍貴。,成年人擁有這些朋友珍貴,9
好喜欢Joey????！！！,喜欢Joey,9
没太大的亮点。编剧是没得编了么，joey和rachel？serious？不过还是要省着点看，只剩下最后一季了，,没太大亮点.编剧没得编joeyrachel.要省剩下一季,9
Joey真是越看越喜欢啊~,Joey越越喜欢,9
哦哦哦哦~我多希望瑞秋和乔伊好的！,哦哦哦希望瑞秋乔伊好,9
结局我超爱呀~,结局超爱,9
真的要说再见了~,真的要说再见,9
这季不错,季不错,9
"Monica和Chandler还是那么的甜蜜
钱先生真是好男人啊

Janice每次出现都好好笑
Oh my god~~ 

最后一集
有了新组合
期待一下最后一季将会怎样延续",MonicaChandler甜蜜钱男人Janice每次好好笑Ohgod一集新组合期待一季延续,9
Joey就和Rachel一起吧一起吧一起吧！！！Phoebe也要赶紧和Mike一起吧一起吧一起吧！！！,JoeyRachel.Phoebe赶紧Mike,9
开始感觉到了岁月的痕迹。,感觉岁月痕迹,9
要不要这么纠结的结局啊,纠结结局,9
罗斯、瑞秋等人不停换对象谈恋爱的剧情越来越让人厌烦。我还是对钱德勒、莫妮卡面对工作、家庭困难的选择更感兴趣。,罗斯瑞秋不停换对象谈恋爱剧情越来越厌烦.钱德勒莫妮卡面对工作家庭困难选择感兴趣,9
"2011,08,18--2011,08,25",2011081820110825,9
除了刚开始还觉得Ross不错，后来越来越讨厌他了怎么回事呢？,Ross不错越来越讨厌怎么回事,9
赞到失语。,赞到失语,9
虽然但是，看最后一集希望joey和rachel在一起啊，这俩的确相当般配。美式喜剧的感情戏真是说来就来????,一集希望joeyrachel俩般配.美式喜剧感情戏,9
慢一点 开始舍不得了,慢一点舍不得,9
质量大回春的一季,质量回春一季,9
快接近尾声了，舍不得看了。爱死这帮人了。,接近尾声舍不得.爱死这帮,9
还剩最后一季，要省着点看,剩一季要省,9
毕业季只看完了第九季。,毕业季只完第九季,9
开心的是Phoebe终于找到真爱啦~Mike好帅！,开心Phoebe终于找到真爱Mike好帅,9
永恒的Friends。I”ll be there for you~ 这一季看完超爱Joey是怎么回事！英语字幕真的有更多隐藏笑点！！,永恒Friends.Ill一季完超爱Joey怎么回事.英语字幕真的隐藏笑点,9
今晚看了最后一集的后半部分，真好,今晚一集真,9
是比较难延续故事。,难延续故事,9
一直大爱Joey 身边要是有这么个朋友也不错哦 开始能接受Phobe了 她真心一点都不显老呐 几乎木有啥子改变 喜欢看她跟Joey一块没大脑的说话 Chandler发福了诶 依旧不喜欢Ross 唔 另外也不是很喜欢Rachel卷发的样子,大爱Joey身边朋友不错接受Phobe真心一点不显老呐木有啥子改变喜欢Joey一块大脑说话Chandler发福诶依旧喜欢Ross唔喜欢Rachel卷发样子,9
这一季看的太缓慢了 。我一直希望罗斯会和瑞秋在一起的！！！！！！,一季缓慢.希望罗斯瑞秋,9
2012.02.29查缺补漏记录,2012.0229查缺补漏记录,9
越到最后越不舍得看~,越到越舍得,9
我不敢相信我这么快就要补完了，没有好剧的生活该怎么办，突然觉得很失落啊。,不敢相信补完好剧生活失落,9
这一季也好好笑哈哈哈，最喜欢的是Ross和Chandler去酒店洗劫日用品那一段。很喜欢一些做出傻傻事情之后的认真表白，比如Phoebe和Monica对骂之后的和好，不像第中间几季那种纯傻的情节。,一季好好笑哈哈哈喜欢RossChandler酒店洗劫日用品一段.喜欢做出傻傻事情表白PhoebeMonica对骂不像几季那种傻情节,9
嗷嗷哦嗷嗷嗷嗷虽然又经历了很多，但是瑞秋和乔伊真的在一起了吗啊啊啊啊啊啊别忽悠我??每一对儿都很可爱。友情是我最喜欢的部分，大家都好真诚啊呜呜呜【9.7】,嗷嗷嗷嗷嗷嗷经历瑞秋乔伊真的啊啊啊啊啊啊忽悠.一对可爱.友情喜欢真诚呜呜9.7,9
912片尾Chandler吸了氦气唱《i will survive》太喜感了，可以作为人物混剪的片头hhhh,912片尾Chandler吸氦气唱isurvive喜感人物混剪片头hhhh,9
人物刻画的太生动了，每个人都是活的，细节做的很足。,人物刻画生动细节足,9
永远不想结束,永远不想结束,9
嫁给钱德勒这样的男人挺幸福的，看久了就会觉得身边好像真的有一群这么好的朋友似得，不过到底是电视剧，编剧导演都说了不实际,嫁给钱德勒男人挺幸福看久身边好像真的一群朋友似得电视剧编剧导演,9
看完啦！好爱Chan chan 然后真的希望Joey和Rach在一起...,爱Chanchan真的希望JoeyRach,9
谁也猜不到故事最后的结局。。,猜不到故事结局,9
之前觉得joey和rachel在一起很不可思议 现在越看越觉得应该了╮(╯▽╰)╭,joeyrachel不可思议越越,9
啊啊啊。我从第八季开始就期望乔伊和瑞秋在一起啦,第八季期望乔伊和瑞秋,9
Rachel和Joey真的应该在一起……,RachelJoey真的,9
"没想到Rachel真的怀孕了，心疼Joey明明那么喜欢Rachel却还是放手了，他本来会是一个好爸爸的…也是因为这里，本来就不是很讨喜的Ross就更讨厌了。Ross太自私了，真的是什么都想要，得不到就会用各种方式来無理取鬧。（好吧只是短暂的讨厌了一下Ross更讨厌他爸妈

最感动我的是最后一集Monica把将来给自己孩子的名字给了Rachel，真的好感动好想哭，这样的友情真的太美好了，虽然嫌弃你各种但是依然愿意为你无条件付出，Chan对Joey也是这样。",没想到Rachel真的怀孕心疼Joey明明喜欢Rachel放手本来爸爸.是因为本来讨喜Ross讨厌.Ross自私真的想要得不到就会用方式無理取鬧.短暂讨厌Ross讨厌爸妈感动一集Monica将来孩子名字Rachel真的感动好想哭友情真的美好嫌弃依然无条件付出ChanJoey,9
嘤嘤要看完了！！,嘤嘤完,9
